iSE_pos0_x,iSE_pos0_y,iSE_pos1_x,iSE_pos1_y,iSE_pos2_x,iSE_pos2_y,iSE_pos3_x,iSE_pos3_y,iSE_pos4_x,iSE_pos4_y,Goal_pos0_x,Goal_pos0_y,Goal_pos1_x,Goal_pos1_y,Goal_pos2_x,Goal_pos2_y,Goal_pos3_x,Goal_pos3_y,Goal_pos4_x,Goal_pos4_y,Goal_goal_x,Goal_goal_y
3.449321,3.178796,3.457635,3.158764,3.464374,3.127629,3.467782,3.072120,0.038999,-0.007257,2.524546,2.631658,2.535437,2.611957,2.539868,2.588886,2.538051,2.562564,-0.179665,-0.187335,1.016764,0.633257
3.490986,3.361746,3.482460,3.292880,3.475296,3.219561,3.472843,3.156784,0.039044,-0.007102,2.591921,2.811851,2.602979,2.783085,2.607779,2.751624,2.606518,2.717564,-0.180227,-0.188421,0.988627,0.578934
3.927409,3.483039,3.782360,3.418160,3.637742,3.322945,3.549763,3.233979,0.039433,-0.007026,2.960642,2.957625,2.949052,2.922623,2.932810,2.885389,2.912069,2.846006,-0.182791,-0.189216,0.860448,0.539177
4.534096,3.084003,4.284080,3.198407,3.972446,3.266468,3.728906,3.250194,0.039902,-0.007401,3.505129,2.719015,3.458440,2.706457,3.409381,2.690360,3.358043,2.670834,-0.186365,-0.187413,0.681760,0.629335
4.150726,3.002425,4.200433,3.077073,4.106253,3.194714,3.887156,3.264696,0.039471,-0.007410,3.383565,2.666449,3.351459,2.662030,3.316164,2.653697,3.277788,2.641562,-0.185262,-0.187004,0.736910,0.649786
3.844434,3.431807,3.984413,3.303523,4.111794,3.237548,4.063737,3.271685,0.039259,-0.007027,3.281516,2.952005,3.262131,2.931071,3.238896,2.907321,3.211928,2.880840,-0.184391,-0.188903,0.780468,0.554866
4.283537,3.303852,4.171702,3.293930,4.158840,3.230037,4.195463,3.202298,0.039669,-0.007199,3.637827,2.871577,3.598202,2.860535,3.556015,2.846188,3.511351,2.828627,-0.186661,-0.188247,0.666961,0.587650
4.463400,3.225144,4.340044,3.269909,4.201819,3.275839,4.173288,3.221359,0.039738,-0.007241,3.818958,2.839248,3.771886,2.834402,3.722745,2.825999,3.671606,2.814134,-0.187621,-0.187981,0.618959,0.600962
4.682103,3.227920,4.583570,3.247058,4.404095,3.281590,4.232546,3.281442,0.039884,-0.007214,4.069355,2.843608,4.010235,2.842195,3.949773,2.837143,3.888023,2.828546,-0.188989,-0.188002,0.550555,0.599908
4.493886,3.400151,4.538853,3.342446,4.507216,3.308102,4.367464,3.310875,0.039713,-0.007078,4.054888,2.952878,4.002083,2.947593,3.947609,2.938999,3.891525,2.927180,-0.188508,-0.188745,0.574578,0.562774
4.933992,3.435993,4.811085,3.401353,4.707926,3.343087,4.588334,3.308409,0.040086,-0.007076,4.439763,2.985776,4.366248,2.981797,4.292229,2.974542,4.217742,2.964089,-0.190729,-0.188951,0.463568,0.552463
4.543137,3.648780,4.612124,3.576183,4.639520,3.476078,4.625609,3.378940,0.039713,-0.006914,4.263863,3.155641,4.207397,3.143788,4.149506,3.129185,4.090241,3.111897,-0.189075,-0.190075,0.546266,0.496227
4.915238,3.770867,4.828207,3.708877,4.764078,3.608217,4.712431,3.491449,0.040038,-0.006845,4.565904,3.285885,4.494733,3.268908,4.422944,3.249537,4.350570,3.227829,-0.190715,-0.190880,0.464259,0.455993
4.892754,3.979463,4.860629,3.893068,4.799098,3.774016,4.750110,3.639474,0.039977,-0.006708,4.611905,3.488734,4.542972,3.462028,4.473303,3.433509,4.402935,3.403219,-0.190552,-0.192129,0.472388,0.393554
5.004753,3.834937,4.966456,3.852710,4.899916,3.825502,4.817951,3.741594,0.040059,-0.006849,4.745425,3.474716,4.673088,3.452349,4.600195,3.427998,4.526778,3.401708,-0.190985,-0.191872,0.450748,0.406423
5.397661,3.858612,5.258639,3.861669,5.101794,3.866960,4.964863,3.832340,0.040336,-0.006819,5.060921,3.550303,4.973793,3.526480,4.886859,3.500804,4.800134,3.473318,-0.192597,-0.192237,0.370162,0.388157
5.162586,4.113327,5.190542,4.024234,5.148230,3.949957,5.048808,3.909330,0.040113,-0.006641,4.999958,3.758135,4.921894,3.724617,4.843545,3.689786,4.764936,3.653672,-0.191618,-0.193464,0.419102,0.326796
